0,0,0
1,29,40
2,29,74
3,2,95
4,-23,99
5,-22,86
6,-2,58
7,13,20
8,10,-20
9,-1,-58
10,-4,-86
11,5,-99
12,10,-95
13,-1,-74
14,-19,-40
15,-19,0
16,3,40
17,28,74
18,27,95
19,-1,99
20,-30,86
21,-30,58
22,-1,20
23,25,-20
24,26,-58
25,2,-86
26,-16,-99
27,-14,-95
28,0,-74
29,7,-40
30,0,0
31,-7,40
32,0,74
33,14,95
34,16,99
35,-2,86
36,-26,58
37,-25,20
38,1,-20
39,30,-58
40,30,-86
41,1,-99
42,-27,-95
43,-28,-74
44,-3,-40
45,20,0
46,19,40
47,1,74
48,-10,95
49,-5,99
50,4,86
51,1,58
52,-10,20
53,-13,-20
54,2,-58
55,22,-86
56,23,-99
57,-2,-95
58,-29,-74
59,-29,-40
60,0,0
61,29,40
62,29,74
63,2,95
64,-23,99
65,-22,86
66,-2,58
67,13,20
68,10,-20
69,-1,-58
70,-4,-86
71,5,-99
72,10,-95
73,-1,-74
74,-19,-40
75,-20,0
76,3,40
77,28,74
78,27,95
79,-1,99
80,-30,86
81,-30,58
82,-1,20
83,25,-20
84,26,-58
85,2,-86
86,-16,-99
87,-14,-95
88,0,-74
89,7,-40
90,0,0
91,-7,40
92,0,74
93,14,95
94,16,99
95,-2,86
96,-26,58
97,-25,20
98,1,-20
99,30,-58
100,30,-86
101,1,-99
102,-27,-95
103,-28,-74
104,-3,-40
105,19,0
106,19,40
107,1,74
108,-10,95
109,-5,99
110,4,86
111,1,58
112,-10,20
113,-13,-20
114,2,-58
115,22,-86
116,23,-99
117,-2,-95
118,-29,-74
119,-29,-40
120,99,0
121,129,40
122,129,74
123,102,95
124,76,99
125,77,86
126,97,58
127,113,20
128,110,-20
129,98,-58
130,95,-86
131,105,-99
132,110,-95
133,98,-74
134,80,-40
135,80,0
136,103,40
137,128,74
138,127,95
139,98,99
140,69,86
141,69,58
142,98,20
143,125,-20
144,126,-58
145,102,-86
146,83,-99
147,85,-95
148,99,-74
149,107,-40
150,99,0
151,92,40
152,100,74
153,114,95
154,116,99
155,97,86
156,73,58
157,74,20
158,101,-20
159,130,-58
160,130,-86
161,101,-99
162,72,-95
163,71,-74
164,96,-40
165,119,0
166,119,40
167,101,74
168,89,95
169,94,99
170,104,86
171,101,58
172,89,20
173,86,-20
174,102,-58
175,122,-86
176,123,-99
177,97,-95
178,70,-74
179,70,-40
180,0,0
181,29,40
182,29,74
183,2,95
184,-23,99
185,-22,86
186,-2,58
187,13,20
188,10,-20
189,-1,-58
190,-4,-86
191,5,-99
192,10,-95
193,-1,-74
194,-19,-40
195,-19,0
196,3,40
197,28,74
198,27,95
199,-1,99
200,-30,86
201,-30,58
202,-1,20
203,25,-20
204,26,-58
205,2,-86
206,-16,-99
207,-14,-95
208,0,-74
209,7,-40
210,0,0
211,-7,40
212,0,74
213,14,95
214,16,99
215,-2,86
216,-26,58
217,-25,20
218,1,-20
219,30,-58
220,30,-86
221,1,-99
222,-27,-95
223,-28,-74
224,-3,-40
225,20,0
226,19,40
227,1,74
228,-10,95
229,-5,99
230,4,86
231,1,58
232,-10,20
233,-13,-20
234,2,-58
235,22,-86
236,23,-99
237,-2,-95
238,-29,-74
239,-29,-40
240,0,0
241,29,40
242,29,74
243,2,95
244,-23,99
245,-22,86
246,-2,58
247,13,20
248,10,-20
249,-1,-58
250,-4,-86
251,5,-99
252,10,-95
253,-1,-74
254,-19,-40
255,-20,0
256,3,40
257,28,74
258,27,95
259,-1,99
260,-30,86
261,-30,58
262,-1,20
263,25,-20
264,26,-58
265,2,-86
266,-16,-99
267,-14,-95
268,0,-74
269,7,-40
270,0,0
271,-7,40
272,0,74
273,14,95
274,16,99
275,-2,86
276,-26,58
277,-25,20
278,1,-20
279,30,-58
280,30,-86
281,1,-99
282,-27,-95
283,-28,-74
284,-3,-40
285,20,0
286,19,40
287,1,74
288,-10,95
289,-5,99
290,4,86
291,1,58
292,-10,20
293,-13,-20
294,2,-58
295,22,-86
296,23,-99
297,-2,-95
298,-29,-74
299,-29,-40
